"","year_of_data","NTEEGRP","Number_of_Orgs","Numbers_PCT","Revenue","Expenses","Assets","Revenue_PCT","Expenses_PCT","Assets_PCT"
"1","2015","All Public Charities",314744,100,1978.6,1838.9,3668.6,100,100,100.1
"2","2015","Arts",31429,10,40.6,35.7,127.9,2.1,1.9,3.5
"3","2015","Education",54214,17.2,354.3,315.5,1128.8,17.9,17.2,30.8
"4","2015","Higher Education",2153,0.7,230.9,207.4,736.3,11.7,11.3,20.1
"5","2015","Other Education",52061,16.5,123.4,108.1,392.5,6.2,5.9,10.7
"6","2015","Environment and Animals",14591,4.6,19.7,16.5,47.8,1,0.9,1.3
"7","2015","Health",38861,12.4,1160.5,1102.3,1574.1,58.7,59.9,42.9
"8","2015","Hospitals and primary care facilities",7113,2.3,977.1,926.7,1281.5,49.4,50.4,34.9
"9","2015","Other Health Care",31748,10.1,183.4,175.6,292.6,9.3,9.5,8
"10","2015","Human Services",110801,35.2,234.1,224,357.1,11.8,12.2,9.7
"11","2015","International",6927,2.2,38.5,34.5,43.2,1.9,1.9,1.2
"12","2015","Other Public and social benefit",37478,11.9,111.3,93.3,347.1,5.6,5.1,9.5
"13","2015","Religion related",20443,6.5,19.6,17.1,42.6,1,0.9,1.2
