"","year_of_data","NTEEGRP","Revenue_2005_-_2015","Revenue_2005_-_2010","Revenue_2010_-_2015","Expenses_2005_-_2015","Expenses_2005_-_2010","Expenses_2010_-_2015","Assets_2005_-_2015","Assets_2005_-_2010","Assets_2010_-_2015"
"1","2015","All Public Charities",38.9,15.2,20.6,40.6,20.6,16.6,46.4,15.9,26.3
"2","2015","Arts",28.1,-0.6,28.9,28.9,7.9,19.4,30.1,7.1,21.5
"3","2015","Education",40.8,6.6,32,49.9,24.2,20.7,44.1,8,33.4
"4","2015","Higher Education",38.8,4.2,33.2,47.9,20.8,22.5,39.6,4.2,33.9
"5","2015","Other Education",44.5,11.4,29.8,53.8,31.2,17.2,53.6,16,32.4
"6","2015","Environment and Animals",51.5,13.1,34,50,24.5,20.4,49.4,17.8,26.8
"7","2015","Health",42,20.7,17.7,42.1,21.8,16.7,57.3,23.8,27.1
"8","2015","Hospitals and primary care facilities",41.8,21.6,16.6,40.8,21.9,15.4,62.2,27.1,27.6
"9","2015","Other Health Care",43.4,15.5,24.2,49.6,20.8,23.8,38.9,11.4,24.7
"10","2015","Human Services",26.3,15.1,9.8,26.7,16.6,8.6,30.2,17.1,11.2
"11","2015","International",26.2,4.9,20.3,27.3,14.8,10.9,51.6,9.8,38
"12","2015","Other Public and social benefit",35.2,-1.3,37.1,36.8,12.9,21.2,32.2,11.5,18.6
"13","2015","Religion related",59.3,13,41,61.3,21.7,32.6,58.4,15.2,37.4
